,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
96,23.9,31.4,19.2,1010.2,69,1.9,9.8,13,49.5
97,25.2,32.2,18.2,1012,56,2.6,6.7,16.5,75.16666666666667
98,25.8,32.5,18.6,1010.3,58,2.7,9.1,24.1,53.125
102,24.9,32.2,19,1013.7,74,2.3,7,13,54.708333333333336
103,26.4,32.5,20,1012.8,68,2.6,3,11.1,52.625
104,27.6,34.3,20.8,1013,65,3.1,5.9,14.8,51.375
108,32,40.6,21.6,1003.9,45,2.7,4.3,9.4,94.33333333333333
109,32.8,40.6,26,1005.8,45,1.9,7.2,11.1,92.91666666666667
110,31.8,39.6,25.4,1005.6,35,1.9,11.1,27.8,80.20833333333333
114,30.4,39.1,22.2,1005.9,51,1.9,13,22.2,71.66666666666667
115,28.8,37.1,22.8,1008,59,1.9,15.7,25.9,31.833333333333332
116,30.2,37.1,23.5,1006.7,59,1.9,17.6,33.5,47.666666666666664
120,31.2,39.4,24.2,1005.8,52,2.7,5.4,14.8,48.125
121,30.2,37.6,23.6,1006.3,47,2.6,4.4,11.1,56.25
122,30.9,38.9,21.7,1006.7,44,2.7,3,11.1,103.41666666666667
126,35.7,42.7,27.6,1003.4,21,1.9,14.4,27.8,76.875
127,34.1,42.7,27,1003.2,29,1.9,12.2,27.8,86.375
128,35.1,42.7,25.7,1001.6,35,2.3,8.3,18.3,77.70833333333333
132,28.3,38.7,23.8,1006.5,65,2.4,7.8,14.8,48.5
133,29.9,35.9,22,1007.4,56,2.6,4.4,11.1,55.083333333333336
134,28.7,35.8,24.2,1006.5,58,1.9,7,18.3,67.45833333333333
138,31.4,41.5,24.9,1002.2,50,1.8,14.8,50,18.875
139,33.2,41.5,22.4,1002,38,2.4,14.6,22.2,61.5
140,35.8,42.6,27,1000.4,30,2.6,11.3,24.1,68.91666666666667
144,37.8,45.5,28,996.7,29,2.6,10.9,22.2,77.375
145,35.3,45.5,24.4,999.2,33,2.3,17,55.4,63.916666666666664
146,33.8,45,24.8,1001.3,26,2.6,6.7,18.3,63.666666666666664
150,35.3,40.6,28.9,1000.7,30,1.9,15.2,27.8,63.625
151,30.1,40.6,23.5,1002.2,47,1.9,14.3,29.4,25.458333333333332
152,31.6,39.9,22.2,1003.4,46,1.9,8.5,20.6,20.75
153,28.7,34.1,23.6,1004.3,59,1.9,6.7,11.1,40.5
157,35.1,42.5,26,999.4,42,2.6,7.2,16.5,64.83333333333333
158,36.3,42.9,27.7,998.7,38,2.6,6.3,22.2,63.0
159,37.6,42.4,30,998.8,32,1.9,18.7,27.8,73.83333333333333
163,31.9,41.6,28,998.8,52,2.3,9.4,14.8,31.875
164,27,39.7,20.5,1000.2,82,1.9,3.9,13,54.958333333333336
165,30.8,34.9,25.5,999.4,66,1.9,3.1,9.4,77.75
169,35.9,41.6,29,996.7,54,1.9,8.5,18.3,75.33333333333333
170,33,42.3,27.2,997.8,56,1.9,13,25.9,32.583333333333336
171,30.4,34.4,25.3,997,70,1.9,5.6,20.6,28.375
175,26.5,36.8,22.4,994.9,86,1.8,6.3,11.1,28.541666666666668
176,31.5,36.8,24,994.7,62,1.8,11.7,22.2,51.041666666666664
177,32.7,38,27,996.9,56,1.9,14.1,29.4,40.0
181,31.9,37.8,25,1001.8,61,1.9,4.3,9.4,37.583333333333336
182,33.8,38.9,27,1001.1,54,1.9,7,13,37.625
183,33.4,39.8,27.6,999.7,54,1.9,13,25.9,34.375
187,28.3,33.6,23.3,998.4,87,1.9,1.7,7.6,42.291666666666664
188,31.2,35.8,24.8,998.6,77,1.9,2.8,11.1,45.666666666666664
189,29.7,35.8,25.2,998.9,82,1.9,2.6,9.4,40.625
193,29.9,33.7,23.3,1000.6,78,2.6,4.8,11.1,26.875
194,31.1,35.6,26.4,998.5,73,1.9,10.9,18.3,30.708333333333332
195,33.4,37,27,994.1,61,1.9,17.2,29.4,10.208333333333334
199,30.1,34.7,26,997.7,76,1.9,0.7,5.4,43.041666666666664
200,29.1,34.7,24.4,999.2,82,1.9,4.8,11.1,19.416666666666668
201,31.5,35.7,25.7,999.9,74,1.9,8.1,13,8.416666666666666
205,31.3,36.5,27.3,999.3,73,2.7,8.7,14.8,0.0
206,30,36.6,27,998.8,76,2.6,16.9,25.9,0.0
207,29.7,34.7,24.6,1000.2,74,2.7,11.3,18.3,4.833333333333333
211,28.9,31.6,25,999.7,77,1.9,4.1,14.8,15.375
212,28.4,32.6,25.4,1002.7,77,1.9,0.9,7.6,19.833333333333332
213,29.8,33.9,25,1003.5,75,1.9,2.6,7.6,25.791666666666668
214,31.6,35.5,25.4,1001.9,63,1.9,5.4,11.1,22.708333333333332
218,29.4,34.4,26.4,999.9,86,1.8,2.2,14.8,31.333333333333332
219,28.8,34.4,25.3,1001.7,88,1.6,1.7,7.6,47.416666666666664
220,27.5,30.8,25,1000.2,92,1.3,3,7.6,33.791666666666664
224,31.9,35.8,28,1001.8,75,1.9,0.4,3.5,39.041666666666664
225,30.9,35.8,28.6,1001.8,78,1.9,3.3,14.8,41.708333333333336
230,31.6,35.6,25.8,1002.7,67,2.9,13,22.2,12.25
231,30.9,35.5,27.7,1001.5,66,1.9,14.6,27.8,14.5
232,29.5,34.5,27.6,1002,77,1.9,8.5,18.3,23.916666666666668
236,32,35.6,27,1000.9,64,3.4,10,20.6,27.375
237,31.9,36.2,28,1001.1,68,2.6,4.8,14.8,29.208333333333332
238,32.4,36.9,28.1,1001.9,68,2.7,5.4,11.1,36.5
242,32.2,36.8,28.4,1002,61,2.6,14.6,24.1,27.833333333333332
243,32.1,36.6,28,1000.8,56,1.9,15.4,25.9,44.125
244,31.9,36.6,27.5,1001.7,54,1.9,12.8,24.1,62.25
245,31.4,36.5,27.6,1005.5,56,1.9,11.7,25.9,60.125
249,31.5,36.9,26.6,1005.7,53,1.9,9.4,22.2,34.666666666666664
250,31.9,36.9,26.8,1005.8,54,2.7,11.9,35.2,39.208333333333336
251,31,36.7,26.4,1005.7,54,2.6,10.2,31.7,38.708333333333336
255,32.2,37.9,27.3,1005.8,61,1.9,1.3,3.5,69.95833333333333
256,31.8,37.9,26.8,1003.5,59,1.9,2.6,9.4,94.375
257,32.9,38,27.5,1003.3,62,1.9,0.4,3.5,85.75
261,30.4,35.9,26,1003.6,78,1.6,2,7.6,51.666666666666664
262,29.1,34.8,27.2,1003.4,76,1.9,4.6,11.1,39.416666666666664
263,30.2,36.5,26.2,1002.3,70,1.9,5.7,14.8,23.958333333333332
267,28.4,33.9,23.5,1003.8,55,2.6,8.5,20.6,43.5
268,29.4,35.1,23.7,1005.3,60,2.3,6.3,14.8,50.416666666666664
269,28.6,35.2,25,1007.2,64,2.3,3,9.4,55.708333333333336
273,28.1,35.3,21.5,1011.8,56,2.6,5.6,13,57.125
279,28.6,35.6,22.7,1009,72,1.9,6.5,18.3,112.29166666666667
280,28.5,35.4,23.2,1007.3,70,1.9,4.4,14.8,97.70833333333333
281,28.6,36,21.8,1004.3,65,1.9,6.1,24.1,80.70833333333333
285,29.6,35.5,25,1011,69,1.9,3.7,9.4,81.625
286,28.2,34.9,22.9,1012.7,70,1.9,3.9,9.4,65.375
287,27.6,34.9,21.5,1013.6,71,1.8,0.4,3.5,84.375
291,28.2,36.1,21.9,1011.7,70,1.9,3.5,9.4,141.95833333333334
292,27.7,36.2,22.9,1009.9,69,1.9,3,9.4,153.375
293,26.6,36.2,21,1012,68,1.6,2,7.6,162.875
297,26.4,34.4,18.3,1012.8,53,2.1,5.4,14.8,0.0
298,25.4,34.4,20.3,1015,59,1.9,5.6,16.5,49.333333333333336
299,24.7,33.3,18.5,1014,61,2.3,3.5,7.6,107.33333333333333
303,22.3,29.8,15.6,1016,73,1.6,1.1,5.4,273.625
304,22.9,31.4,16.2,1016.1,73,1.4,0.9,3.5,256.9583333333333
305,23.4,31.8,17.3,1015.8,75,1.6,0.4,3.5,185.08333333333334
306,23.9,31.8,18.6,1014.2,73,1.8,0.4,1.9,249.5
310,21.9,30.2,16.1,1014.8,79,0.5,1.1,7.6,365.75
311,21.9,29,17.1,1016,75,1.1,1.9,5.4,241.875
312,22.1,29.8,16.1,1015,77,1.3,0.7,3.5,176.875
316,22.3,29.3,16.1,1014.9,64,0.8,5.4,18.3,353.0416666666667
317,22.4,29.8,16.5,1012,65,1.1,3.5,13,257.4166666666667
322,18.5,27.7,11.5,1017.6,68,1.3,0.9,7.6,207.83333333333334
323,18.6,27.7,11.4,1016.4,69,1.1,0.4,3.5,268.1666666666667
324,18.8,28.5,11.5,1015.4,69,0.8,1.3,3.5,278.3333333333333
328,19.3,28,13,1014.7,61,1.9,5.7,18.3,157.5
329,20,29.1,11.9,1012.6,64,1.4,0.9,7.6,156.375
330,18.4,29.1,13.5,1011.4,71,1.3,2.6,7.6,200.5
334,19.3,28,13.8,1014.7,81,0.6,1.7,7.6,212.125
335,17.9,26.2,13.5,1016.2,75,0.8,2,11.1,190.5
336,17.6,24.6,11.2,1016.1,75,0.8,7,18.3,236.41666666666666
340,17.8,26.2,11,1017.1,79,0.6,2,7.6,286.375
341,20.2,27,12,1015.8,68,1,1.3,5.4,288.0833333333333
342,19.2,26.9,11.6,1015.4,78,1,4.8,14.8,302.4583333333333
346,14.8,21,6.8,1016.4,63,2.4,5.4,13,163.0
347,14.6,21.3,6,1017.1,59,2.6,8.1,14.8,161.375
348,15.2,22.2,7,1016.5,60,2.4,7,14.8,157.375
352,14.4,21.1,6.8,1019.1,65,1.6,5.6,13,245.91666666666666
353,12.6,21,0,1018.9,68,1.4,2.6,9.4,264.5833333333333
354,13.7,21,5.6,1018.8,71,1.3,1.5,7.6,253.29166666666666
358,13.3,19.3,5.5,1021.9,62,1.9,7.8,14.8,181.20833333333334
359,14.4,21.5,5.5,1021,60,1.8,8.9,18.3,210.875
360,16.3,22.5,7.6,1020.6,64,1.4,8.1,14.8,255.33333333333334
